label_a,label_b,count
confusion,disappointment,16
admiration,sadness,16
disapproval,love,16
joy,realization,16
disapproval,gratitude,16
caring,curiosity,15
disappointment,remorse,15
gratitude,remorse,15
caring,realization,15
amusement,anger,15
love,sadness,15
fear,sadness,15
approval,surprise,14
gratitude,neutral,14
curiosity,remorse,14
caring,disapproval,14
admiration,disapproval,14
caring,remorse,14
curiosity,joy,14
admiration,fear,14
desire,gratitude,13
amusement,surprise,13
joy,surprise,13
optimism,surprise,13
approval,disgust,13
amusement,excitement,13
annoyance,caring,13
disgust,optimism,13
joy,sadness,13
annoyance,love,12
desire,realization,12
annoyance,desire,12
embarrassment,neutral,12
desire,disappointment,12
embarrassment,sadness,12
excitement,realization,12
approval,remorse,12
anger,curiosity,11
disappointment,surprise,11
curiosity,disgust,11
desire,sadness,11
curiosity,fear,11
disgust,sadness,11
caring,desire,11
anger,gratitude,11
disgust,realization,11
annoyance,fear,11
curiosity,desire,11
disappointment,love,10
amusement,desire,10
curiosity,embarrassment,10
disgust,fear,10
gratitude,relief,10
amusement,remorse,10
confusion,love,10
approval,sadness,10
caring,disappointment,10
amusement,disappointment,10
optimism,pride,10
disappointment,embarrassment,10
desire,excitement,10
anger,surprise,10
admiration,disgust,10
annoyance,embarrassment,9
annoyance,surprise,9
fear,surprise,9
joy,relief,9
love,surprise,9
amusement,disgust,9
embarrassment,realization,9
anger,caring,9
admiration,remorse,9
nervousness,sadness,9
desire,joy,8
annoyance,remorse,8
amusement,caring,8
confusion,fear,8
gratitude,pride,8
approval,fear,8
anger,confusion,8
neutral,relief,8
amusement,embarrassment,8
embarrassment,optimism,8
nervousness,neutral,8
anger,approval,8
disappointment,gratitude,8
confusion,joy,8
disappointment,joy,7
disappointment,nervousness,7
disgust,embarrassment,7
approval,relief,7
disapproval,joy,7
anger,love,7
fear,optimism,7
fear,realization,6
disappointment,fear,6
joy,pride,6
anger,embarrassment,6
disapproval,remorse,6
neutral,pride,6
anger,optimism,6
realization,remorse,6
annoyance,joy,6
caring,fear,6
confusion,sadness,6
embarrassment,remorse,6
caring,relief,6
desire,disapproval,5
approval,pride,5
disgust,gratitude,5
confusion,remorse,5
sadness,surprise,5
admiration,anger,5
anger,fear,5
confusion,optimism,5
admiration,relief,4
confusion,excitement,4
disapproval,embarrassment,4
disapproval,fear,4
fear,love,4
anger,realization,4
love,remorse,4
annoyance,excitement,4
caring,nervousness,4
disapproval,surprise,4
disgust,love,4
embarrassment,fear,4
disgust,remorse,4
anger,joy,4
optimism,relief,4
neutral,remorse,4
annoyance,relief,4
disapproval,relief,4
fear,joy,4
disappointment,excitement,4
disappointment,grief,4
anger,desire,4
nervousness,realization,3
excitement,pride,3
confusion,disgust,3
desire,disgust,3
excitement,relief,3
grief,remorse,3
curiosity,nervousness,3
amusement,fear,3
anger,remorse,3
admiration,embarrassment,3
caring,surprise,3
amusement,relief,3
embarrassment,surprise,3
approval,nervousness,3
caring,grief,3
disapproval,excitement,3
disgust,joy,3
grief,neutral,2
confusion,desire,2
disapproval,nervousness,2
desire,remorse,2
grief,surprise,2
caring,excitement,2
anger,relief,2
love,nervousness,2
love,relief,2
caring,disgust,2
disgust,nervousness,2
confusion,embarrassment,2
annoyance,pride,2
confusion,nervousness,2
fear,remorse,2
anger,nervousness,2
caring,embarrassment,2
joy,nervousness,2
fear,gratitude,2
amusement,nervousness,2
annoyance,grief,2
caring,confusion,1
disapproval,pride,1
desire,fear,1
grief,nervousness,1
embarrassment,grief,1
embarrassment,joy,1
embarrassment,nervousness,1
embarrassment,love,1
disgust,excitement,1
amusement,pride,1
remorse,surprise,1
realization,relief,1
joy,remorse,1
nervousness,optimism,1
nervousness,surprise,1
curiosity,relief,1
admiration,nervousness,1
confusion,relief,1
embarrassment,pride,1
gratitude,grief,1
disgust,relief,1
annoyance,nervousness,1
approval,embarrassment,1
admiration,grief,1
anger,pride,1
pride,surprise,1
excitement,remorse,1
desire,surprise,1
nervousness,relief,1
desire,grief,1
excitement,sadness,1
embarrassment,excitement,1
excitement,fear,1
